Highest Offense Description,Latitude,Longitude,year
DWI,30.34775315,-97.71195184,2022
CRIMINAL MISCHIEF,30.3769662,-97.7065074,2022
FAMILY DISTURBANCE,30.26560256,-97.74087661,2022
CRIMINAL MISCHIEF,30.23255621,-97.80173407,2022
BURGLARY OF RESIDENCE,30.16825078,-97.62694218,2022
DWI,30.3495198,-97.69269255,2022
BURGLARY OF VEHICLE,30.41583096,-97.695341,2022
CRIMINAL MISCHIEF,30.36917195,-97.71701874,2022
DWI,30.2049031,-97.68378648,2022
DWI,30.23458403,-97.86333685,2022
FAMILY DISTURBANCE,30.45583418,-97.82045862,2022
CRED CARD ABUSE - OTHER,30.33964307,-97.70138165,2022
AUTO THEFT,30.26767504,-97.73809604,2022
THEFT FROM BUILDING,30.26982251,-97.7316948,2022
AGG ASSAULT,30.2276621,-97.78060434,2022
DWI,30.43779076,-97.66914361,2022
BURGLARY OF VEHICLE,30.17794774,-97.78530161,2022
ASSAULT BY THREAT,30.19463986,-97.81549951,2022
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.39049057,-97.72041866,2022
POSS CONTROLLED SUB/NARCOTIC,30.3619086,-97.69501754,2022
INDECENT EXPOSURE,30.36790421,-97.70626259,2022
FAMILY DISTURBANCE,30.38973342,-97.64647729,2022
FAMILY DISTURBANCE,30.25672242,-97.71884922,2022
FAMILY DISTURBANCE/PARENTAL,30.32796114,-97.76685399,2022
DISTURBANCE - OTHER,30.22717673,-97.6985111,2022
FAMILY DISTURBANCE,30.27863975,-97.69455228,2022
FAMILY DISTURBANCE,30.19084407,-97.77786025,2022
FAMILY DISTURBANCE,30.21712798,-97.79872143,2022
ARSON,30.16548757,-97.78952006,2022
UNLAWFUL CARRYING WEAPON,30.26735144,-97.73909331,2022
FAMILY DISTURBANCE,30.32784674,-97.68908479,2022
POSS OF DRUG PARAPHERNALIA,30.3582867,-97.70038767,2022
DWI,30.25713146,-97.72461373,2022
DWI,30.26869432,-97.7339717,2022
DOC FIGHTING,30.26760113,-97.74015122,2022
FAMILY DISTURBANCE,30.1403564,-97.80051916,2022
FAMILY DISTURBANCE,30.37510929,-97.71119236,2022
DOC DISPLAY GUN/DEADLY PUB PLC,30.47734224,-97.80298245,2022
