Highest Offense Description,Latitude,Longitude,year
CRASH/FAIL STOP AND RENDER AID,30.3285795,-97.69514898,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.23900855,-97.78800154,2021
AUTO THEFT,30.22826528,-97.86297904,2021
DWI,30.42797273,-97.68713445,2021
CRIMINAL MISCHIEF-NO SUSPECT,30.18695401,-97.74862204,2021
VIOL OF PROTECTIVE ORDER,30.39862394,-97.70361701,2021
DOC DISCHARGE GUN - PUB PLACE,30.32804875,-97.69368286,2021
BURGLARY OF VEHICLE,30.29726935,-97.70385255,2021
BURGLARY OF VEHICLE,30.35119727,-97.79608335,2021
CRED CARD ABUSE - OTHER,30.41348663,-97.74513103,2021
FAMILY DISTURBANCE,30.23469943,-97.69159085,2021
CRIMINAL MISCHIEF,30.25788603,-97.80700704,2021
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.38691898,-97.64722828,2021
THEFT BY SHOPLIFTING,30.17542488,-97.82564841,2021
BURGLARY OF VEHICLE,30.37860918,-97.72461698,2021
CRASH/FAIL STOP AND RENDER AID,30.29930666,-97.67369234,2021
MAIL THEFT,30.24136087,-97.71692105,2021
THEFT,30.18316945,-97.81415224,2021
ASSAULT WITH INJURY,30.22058847,-97.69124521,2021
DEADLY CONDUCT,30.25307883,-97.70651011,2021
CRASH/FAIL STOP AND RENDER AID,30.37117428,-97.69246122,2021
VIOL CITY ORDINANCE - WRECKER,30.26658588,-97.73850236,2021
BURGLARY OF VEHICLE,30.26821794,-97.73869297,2021
BURGLARY OF VEHICLE,30.34715945,-97.80037855,2021
ASSAULT BY CONTACT FAM/DATING,30.27533049,-97.71934975,2021
BURGLARY NON RESIDENCE,30.40429409,-97.72268766,2021
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.21316179,-97.76009362,2021
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.21316179,-97.76009362,2021
RESISTING ARREST OR SEARCH,30.36760561,-97.72248502,2021
THEFT,30.3169731,-97.68728412,2021
CRIMINAL MISCHIEF,30.25369584,-97.76406007,2021
FAMILY DISTURBANCE/PARENTAL,30.24611394,-97.76505692,2021
DEADLY CONDUCT,30.31655799,-97.69076047,2021
CRIMINAL MISCHIEF,30.25247359,-97.76290776,2021
INDECENT EXPOSURE,30.26318971,-97.75692577,2021
DWI,30.32169208,-97.70637632,2021
CRIMINAL MISCHIEF,30.25919652,-97.75926592,2021
FAMILY DISTURBANCE,30.32029813,-97.69541662,2021
THEFT,30.27289475,-97.74092794,2021
AUTO THEFT,30.25571158,-97.7625396,2021
CHILD CUSTODY INTERFERE,30.39438783,-97.67065387,2021
THEFT,30.26584235,-97.73859205,2021
HARASSMENT,30.24658852,-97.76513299,2021
BURGLARY OF VEHICLE,30.39633236,-97.66615192,2021
CRIMINAL MISCHIEF,30.26035887,-97.7581197,2021
RAPE,,,2021
AGG ASSAULT,30.26254646,-97.72553832,2021
POSS CONTROLLED SUB/NARCOTIC,30.23884343,-97.71943779,2021
CRIMINAL TRESPASS,30.29622061,-97.71765563,2021
POSS OF DRUG PARAPHERNALIA,30.20471189,-97.73729234,2021
BURGLARY OF VEHICLE,30.26529698,-97.74916709,2021
DEBIT CARD ABUSE,30.42237586,-97.75935755,2021
ASSAULT BY THREAT,30.33112567,-97.72239104,2021
FAMILY DISTURBANCE,30.43063212,-97.696745,2021
FAMILY DISTURBANCE,30.3453925,-97.70787773,2021
DISTURBANCE - OTHER,30.19354735,-97.79457514,2021
FAMILY DISTURBANCE,30.28087809,-97.67841802,2021
FAMILY DISTURBANCE,30.23768044,-97.72566498,2021
POSS CONTROLLED SUB/NARCOTIC,30.26735144,-97.73909331,2021
BURGLARY OF VEHICLE,30.44469193,-97.78470828,2021
FAMILY DISTURBANCE,30.48940343,-97.77319761,2021
DATING DISTURBANCE,30.13977878,-97.79718332,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.207945,-97.81462393,2021
AUTO THEFT,30.4274247,-97.77417105,2021
ASSAULT WITH INJURY,30.25825575,-97.71272472,2021
ASSAULT BY THREAT FAM/DATING,30.18674383,-97.74706689,2021
CRIMINAL MISCHIEF,30.35198136,-97.72291744,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.32104847,-97.77354003,2021
BURGLARY OF VEHICLE,30.24881689,-97.85964342,2021
BURGLARY OF RESIDENCE,30.38979111,-97.65120601,2021
BURGLARY OF VEHICLE,30.34153505,-97.70190398,2021
ASSAULT BY THREAT,30.30652692,-97.7137849,2021
THEFT,30.46262032,-97.78354826,2021
HARASSMENT,30.44139787,-97.74748262,2021
BURGLARY OF VEHICLE,30.35187694,-97.69229504,2021
THEFT,30.36983057,-97.71586851,2021
BURGLARY OF VEHICLE,30.32137824,-97.71900897,2021
CRIMINAL MISCHIEF,30.21324823,-97.83008784,2021
FAMILY DISTURBANCE,30.46140233,-97.78259947,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.24657184,-97.80717316,2021
BURGLARY OF VEHICLE,30.32104847,-97.77354003,2021
FAMILY DISTURBANCE,30.19754354,-97.76081673,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.24513274,-97.7792587,2021
FAMILY DISTURBANCE,30.22978263,-97.7383161,2021
THEFT,30.21962922,-97.82841821,2021
THEFT,30.24081284,-97.81738088,2021
FAMILY DISTURBANCE,30.19731659,-97.77213239,2021
BURGLARY OF VEHICLE,30.4053694,-97.71135296,2021
DISTURBANCE - OTHER,30.35887557,-97.68650563,2021
FAMILY DISTURBANCE,30.1855878,-97.83271339,2021
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.38691898,-97.64722828,2021
FRAUD - OTHER,30.17461862,-97.83871711,2021
BURGLARY OF VEHICLE,30.25576599,-97.74597843,2021
FAMILY DISTURBANCE,30.21903307,-97.76718941,2021
ROBBERY BY ASSAULT,30.37577494,-97.67564681,2021
POSSESSION OF MARIJUANA,30.22967724,-97.73014105,2021
THEFT CATALYTIC CONVERTER,30.44830779,-97.77802573,2021
ASSAULT WITH INJURY,30.36567676,-97.68514859,2021
THEFT OF BICYCLE,30.26308497,-97.71580004,2021
THEFT,30.27515598,-97.70101677,2021
FAMILY DISTURBANCE,30.22840368,-97.71838693,2021
FAMILY DISTURBANCE,30.3190283,-97.65763354,2021
BURGLARY NON RESIDENCE,30.15625387,-97.75483593,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.32104847,-97.77354003,2021
HARASSMENT,30.4554496,-97.76805519,2021
CRIMINAL MISCHIEF,30.23511147,-97.82438998,2021
MAIL THEFT,30.15344609,-97.75607863,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.24418174,-97.81009928,2021
AUTO THEFT,30.39033417,-97.70280567,2021
EVADING VEHICLE,30.35450866,-97.69147453,2021
DISTURBANCE - OTHER,30.38973342,-97.64647729,2021
FAMILY DISTURBANCE,30.26010402,-97.73921517,2021
HARASSMENT,30.15870362,-97.74893444,2021
THEFT,30.23952064,-97.69278303,2021
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.38691898,-97.64722828,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.31578854,-97.678678,2021
POSS CONTROLLED SUB/NARCOTIC,30.35552568,-97.71477882,2021
DISTURBANCE - OTHER,30.19723953,-97.76334511,2021
FALSE ALARM OR REPORT,30.27515598,-97.70101677,2021
ASSAULT WITH INJURY,30.33425255,-97.74108332,2021
MAIL THEFT,30.48051276,-97.76953439,2021
FAMILY DISTURBANCE,30.20104769,-97.8458775,2021
AUTO THEFT,30.22935819,-97.72621907,2021
TERRORISTIC THREAT,30.2817452,-97.68111002,2021
BURGLARY NON RESIDENCE,30.18007278,-97.83464783,2021
THEFT OF BICYCLE,30.22840368,-97.71838693,2021
HARASSMENT,30.20723767,-97.68975159,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.3522535,-97.69281751,2021
FAMILY DISTURBANCE,30.23046753,-97.73086406,2021
AUTO THEFT,30.1974094,-97.78989537,2021
FAMILY DISTURBANCE,30.29547117,-97.73842621,2021
VIOL OF EMERG PROTECTIVE ORDER,30.43530609,-97.7095482,2021
THEFT,30.18313421,-97.75928826,2021
HARASSMENT,30.37919393,-97.67300529,2021
FAMILY DISTURBANCE,30.43584331,-97.69670718,2021
FAMILY DISTURBANCE,30.31909477,-97.69067198,2021
AUTO THEFT,30.23855989,-97.7232022,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.24381778,-97.80963364,2021
DISTURBANCE - OTHER,30.22249994,-97.70447557,2021
THEFT OF TRAILER,30.16594234,-97.74158441,2021
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.38691898,-97.64722828,2021
CRIMINAL MISCHIEF,30.42325701,-97.70297985,2021
ASSAULT BY CONTACT,30.25370054,-97.73714423,2021
THEFT OF BICYCLE,30.29246578,-97.72275227,2021
AUTO THEFT,30.31220976,-97.7093765,2021
IDENTITY THEFT,30.28308327,-97.71622746,2021
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.21316179,-97.76009362,2021
BURGLARY NON RESIDENCE,30.29404307,-97.74124732,2021
AUTO THEFT,30.23224889,-97.77780988,2021
THEFT OF LICENSE PLATE,30.42752937,-97.70504365,2021
CRIMINAL MISCHIEF,30.26860246,-97.74111291,2021
ASSAULT BY CONTACT,30.24156293,-97.75797157,2021
ASSAULT BY THREAT,30.26341041,-97.75887475,2021
THEFT BY SHOPLIFTING,30.23520584,-97.7913737,2021
BURGLARY OF VEHICLE,30.43897776,-97.80283119,2021
ASSAULT WITH INJURY,30.23677941,-97.72423225,2021
VIOL STATE LAW - OTHER,30.27772015,-97.66647261,2021
AUTO THEFT,30.25049848,-97.74908161,2021
AUTO THEFT,30.41347642,-97.66447168,2021
AUTO THEFT,30.34153505,-97.70190398,2021
THEFT OF BICYCLE,30.24788615,-97.75060556,2021
FAMILY DISTURBANCE,30.3805642,-97.65216055,2021
FAMILY DISTURBANCE,30.37304679,-97.73133028,2021
FAMILY DISTURBANCE,30.21451489,-97.75407557,2021
FRAUD - OTHER,30.22793174,-97.82881097,2021
FAILURE TO IDENTIFY,30.20228012,-97.64254616,2021
FAMILY DISTURBANCE/PARENTAL,30.32987767,-97.72756113,2021
BURGLARY OF RESIDENCE,30.28007679,-97.77367268,2021
IDENTITY THEFT,30.3752675,-97.84831765,2021
DWI,30.33112918,-97.70037103,2021
CRIMINAL MISCHIEF,30.33791112,-97.69392668,2021
VIOL OF PROTECTIVE ORDER,30.39469442,-97.70620524,2021
THEFT BY SHOPLIFTING,30.35065604,-97.71376302,2021
AUTO THEFT,30.39307988,-97.83169434,2021
DISTURBANCE - OTHER,30.40666206,-97.6593739,2021
AUTO THEFT,30.18887772,-97.7800714,2021
DISTURBANCE - OTHER,30.2672999,-97.73885705,2021
PROBATION VIOL,30.35010957,-97.69128106,2021
DEBIT CARD ABUSE,30.23783528,-97.71317116,2021
CRIMINAL TRESPASS,30.43352684,-97.69868447,2021
ASSAULT BY CONTACT,30.16291061,-97.79312325,2021
CRED CARD ABUSE - OTHER,30.47915637,-97.79679352,2021
POSSESSION OF MARIJUANA,30.23869856,-97.68746494,2021
AUTO THEFT,30.32916193,-97.73172752,2021
THEFT OF BICYCLE,30.26484886,-97.72947785,2021
BURGLARY OF RESIDENCE,30.18782842,-97.76131283,2021
POSS CONTROLLED SUB/NARCOTIC,30.22979812,-97.74274986,2021
ASSAULT BY CONTACT,30.23142373,-97.74139816,2021
ILLUMIN AIRCRAFT INTENSE LIGHT,30.37117004,-97.71587022,2021
BURGLARY NON RESIDENCE,30.27484692,-97.63590012,2021
FAMILY DISTURBANCE,30.22484581,-97.72059573,2021
BURGLARY OF VEHICLE,30.34715945,-97.80037855,2021
THEFT OF LICENSE PLATE,30.31941418,-97.69149066,2021
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.36882296,-97.71838259,2021
FRAUD - OTHER,30.41069227,-97.71678672,2021
CRIMINAL MISCHIEF,30.48940343,-97.77319761,2021
FAMILY DISTURBANCE,30.39785078,-97.66153467,2021
CRIMINAL MISCHIEF,30.25566366,-97.72398175,2021
AUTO THEFT,30.2745999,-97.75715359,2021
BURGLARY OF VEHICLE,30.29986863,-97.70708128,2021
ASSAULT WITH INJURY,30.37381396,-97.69055867,2021
BURGLARY OF VEHICLE,30.32104847,-97.77354003,2021
THEFT,30.16548757,-97.78952006,2021
FAMILY DISTURBANCE,30.23046753,-97.73086406,2021
TERRORISTIC THREAT,30.28310287,-97.70294549,2021
DOC EXPOSURE,30.32686021,-97.6900598,2021
THEFT,30.31639292,-97.70614651,2021
THEFT OF LICENSE PLATE,30.3322736,-97.71381191,2021
FAMILY DISTURBANCE,30.34181113,-97.7172788,2021
VIOL OF PROTECTIVE ORDER,30.31954402,-97.70328992,2021
AUTO THEFT,30.34211955,-97.73719044,2021
MAIL THEFT,30.26314573,-97.71783249,2021
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.35242664,-97.6860071,2021
THEFT BY SHOPLIFTING,30.25550985,-97.7194048,2021
FRAUD - OTHER,30.33551386,-97.86850192,2021
TERRORISTIC THREAT,30.41393367,-97.7591514,2021
BURGLARY OF VEHICLE,30.42060464,-97.70105289,2021
AUTO THEFT,30.3363812,-97.70138503,2021
FAMILY DISTURBANCE,30.30714138,-97.66939998,2021
AUTO THEFT,30.23879504,-97.74019619,2021
CRED CARD ABUSE - OTHER,30.30755468,-97.67805181,2021
FORGERY AND PASSING,30.37292475,-97.75799077,2021
IDENTITY THEFT,30.35351897,-97.77368363,2021
FRAUD - OTHER,30.22055351,-97.77046164,2021
HARASSMENT,30.24136087,-97.71692105,2021
THEFT,30.25714631,-97.75018678,2021
THEFT BY SHOPLIFTING,30.40526665,-97.67189551,2021
BURGLARY NON RESIDENCE,30.33690238,-97.70319403,2021
ASSAULT BY THREAT,30.25025179,-97.72240146,2021
DOC DISCHARGE GUN - PUB PLACE,30.3698269,-97.72000474,2021
CRIMINAL MISCHIEF,30.36108966,-97.74731095,2021
AUTO THEFT,30.36679701,-97.69560063,2021
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.17497685,-97.82327647,2021
CRIMINAL MISCHIEF,30.21202735,-97.66290598,2021
